track_id,rank,track_name,artist_names,album_name,album_id,popularity,duration,explicit,release_date,album_type,copies
7BqBn9nzAq8spo5e7cZ0dJ,97,Just the Way You Are,Bruno Mars,Doo-Wops & Hooligans,1uyf3l2d4XYwiEqAb7t7fX,,3:40,0.0,2010-05-11,album,1340.0
4MUrUT38U98olfnyzMBCzm,55,KLOuFRENS,Bad Bunny,DeBÍ TiRAR MáS FOToS,5K79FLRUCSysQnVESLcTdb,90.0,3:19,,2025-01-05,album,1.0
1YYfyJ2yCvGFCxwjsIqEK9,87,Khé?,Rauw Alejandro|Romeo Santos,Cosa Nuestra,0aX0UXrHG2ceYIxTQcqJdA,89.0,3:26,0.0,2024-11-15,album,
7bywjHOc0wSjGGbj04XbVi,72,LUNA,Feid|ATL Jacob,FERXXOCALIPSIS,0lgs2Sa82lyX89nBUWyUy6,89.0,3:16,0.0,2023-12-01,album,30.0
6iOndD4OFo7GkaDypWQIou,98,La Plena - W Sound 05,W Sound|Beéle|Ovy On The Drums,La Plena (W Sound 05),4Xdo78uvvt1P7rWRX8TOPt,88.0,2:30,1.0,2025-02-19,single,396.0
6jbYpRPTEFl1HFKHk1IC0m,40,Like Him (feat. Lola Young),"Tyler, The Creator|Lola Young",CHROMAKOPIA,0U28P0QVB1QRxpqp5IHOlH,91.0,4:38,1.0,2024-10-28,album,1.0
3w3y8KPTfNeOKPiqUTakBh,45,Locked out of Heaven,Bruno Mars,Unorthodox Jukebox,58ufpQsJ1DS5kq4hhzQDiI,90.0,3:53,0.0,2012-12-07,album,1165.0
,88,Loco,Neton Vega,Loco,1vNUD9sUBRHFFQiwYZm232,89.0,3:06,0.0,2024-12-20,single,2.0
17phhZDn6oGtzMe56NuWvj,41,Lose Control,Teddy Swims,I've Tried Everything But Therapy (Part 1),7nacKlk586eLRBSIsrk9DB,91.0,3:30,0.0,2023-09-15,album,2206.0
3t72JCbFJ3syOhFC7x9Pa4,99,M&M,Neton Vega,Mi Vida Mi Muerte,338NDGMHtB4t5mp8RhMnh3,88.0,2:46,0.0,2025-02-14,album,1.0
,31,ME JALO,Fuerza Regida|Grupo Frontera,MALA MÍA,5utxE1ImIDJFXRHf137hoy,91.0,3:32,1.0,2024-12-19,single,
3SKH53SPQbEnZR4cJPVaz2,43,Messy,Lola Young,Messy,2QWd1BsO7J0zLwxhsKl3zh,91.0,4:44,1.0,2024-05-30,single,62.0
,69,Morena,Neton Vega|Peso Pluma,Mi Vida Mi Muerte,338NDGMHtB4t5mp8RhMnh3,89.0,3:13,0.0,2025-02-14,album,1.0
7sd6zMrgGpEa7NkQm9TRrg,63,NADIE,Tito Double P,NADIE,2op3VYOlPBj8PhFxLEQ0Ol,89.0,3:17,1.0,2024-11-21,single,
2u9S9JJ6hTZS3Vf22HOZKg,38,NOKIA,Drake,$ome $exy $ongs 4 U,6Rl6YoCarF2GHPSQmmFjuR,91.0,4:01,1.0,2025-02-14,album,1.0
5TFD2bmFKGhoCRbX61nXY5,14,NUEVAYoL,Bad Bunny,,5K79FLRUCSysQnVESLcTdb,94.0,3:03,0.0,2025-01-05,album,1.0
5O2P9iiztwhomNh8xkR9lJ,81,Night Changes,One Direction,FOUR (Deluxe),4gCNyS7pidfK3rKWhB3JOY,89.0,3:46,0.0,2014-11-17,album,
3siwsiaEoU4Kuuc9WKMUy5,53,No One Noticed,The Marías,Submarine,03guxdOi12XJbnvxvxbpwG,90.0,3:56,0.0,2024-05-31,album,299.0
0eaVIYo2zeOaGJeqZ5TwYz,86,No Pole,Don Toliver,Love Sick (Deluxe),2Q2TRdT994vTzGE3Grmmht,89.0,3:07,1.0,2023-02-28,album,182.0
5TTGoX70AFrTvuEtqHK37S,79,No. 1 Party Anthem,Arctic Monkeys,AM,78bpIziExqiI9qztvNFlQu,89.0,4:03,0.0,2013-09-09,album,4.0
6AI3ezQ4o3HUoP6Dhudph3,6,Not Like Us,Kendrick Lamar,Not Like Us,5JjnoGJyOxfSZUZtk2rRwZ,,4:34,1.0,2024-05-04,single,2.0
7CyPwkp0oE8Ro9Dd5CUDjW,23,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd|JENNIE|Lily-Rose Depp,The Idol Episode 4 (Music from the HBO Original Series),7tzVd1fwkxsorytCBjEJkU,92.0,4:04,0.0,2023-06-23,single,35.0
6qqrTXSdwiJaq8SO0X2lSe,15,Ordinary,Alex Warren,Ordinary,6xomx5ekO7qHDvDh57rZ5S,94.0,3:06,0.0,2025-02-07,single,738.0
0tgVpDi06FyKpA1z0VMD4v,82,Perfect,Ed Sheeran,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,,4:23,0.0,2017-03-03,album,
5jHozZMWbrExAFni95mvvH,70,Por Esos Ojos,Fuerza Regida,Por Esos Ojos,3ZaYiXwSEqq5iZ6xt8RAwp,89.0,3:08,1.0,2025-02-11,single,3.0
4OLT65TRsOx3Iv1TlCcQVb,96,Presidente,Gabito Ballesteros|Natanael Cano|Luis R Conriquez|Neton Vega,Presidente,0xyBpeAAr8E86J7GH1SNUR,88.0,3:01,1.0,2024-10-21,single,3.0
0l0vcZMU7AOeQmUIREoI2U,52,Qué Pasaría...,Rauw Alejandro|Bad Bunny,Cosa Nuestra,0aX0UXrHG2ceYIxTQcqJdA,90.0,3:11,1.0,2024-11-15,album,2.0
